id,nct_id,name,removed
73593762,NCT05245825,Mexico,FALSE
73593763,NCT05651646,United States,FALSE
73593764,NCT05651490,Singapore,FALSE
73593765,NCT05469607,Australia,FALSE
73593766,NCT05651412,Pakistan,FALSE
73593767,NCT02465450,United States,FALSE
73593768,NCT02465450,Belgium,FALSE
73593769,NCT02465450,France,FALSE
73593770,NCT02465450,Germany,FALSE
73593771,NCT02465450,Italy,FALSE
73593772,NCT02465450,Poland,FALSE
73593773,NCT02465450,United Kingdom,FALSE
73593774,NCT00358345,Israel,FALSE
73593775,NCT04000152,United States,FALSE
73593776,NCT04000152,Argentina,FALSE
73593777,NCT04000152,Brazil,FALSE
73593778,NCT04000152,France,FALSE
73593779,NCT04000152,Italy,FALSE
73593780,NCT04000152,Spain,FALSE
73593781,NCT04000152,Australia,TRUE
73593782,NCT04000152,Japan,TRUE
73593783,NCT04000152,Mexico,TRUE
73593784,NCT04000152,Turkey,TRUE
73593785,NCT04192500,Belgium,FALSE
73593786,NCT00608972,United States,FALSE
73593787,NCT00359515,United States,FALSE
73593788,NCT02729714,United States,FALSE
73593789,NCT02555982,France,FALSE
73593790,NCT04744688,Denmark,FALSE
73593791,NCT04802382,Israel,FALSE
73593792,NCT05648916,Canada,FALSE
73593793,NCT02508012,France,FALSE
73593794,NCT05653609,France,FALSE
73593795,NCT05218135,Belgium,FALSE
73593796,NCT05449561,Hong Kong,FALSE
73593797,NCT05210101,United States,FALSE
73593798,NCT04344067,Taiwan,FALSE
73593799,NCT02959333,China,FALSE
73593800,NCT02959411,Canada,FALSE
73593801,NCT05449873,"Korea, Republic of",FALSE
73593802,NCT02977819,France,FALSE
73593803,NCT00359593,Canada,FALSE
73593804,NCT05190991,Armenia,FALSE
73593805,NCT05190991,Georgia,FALSE
73593806,NCT05190991,Russian Federation,FALSE
73593807,NCT05434585,Indonesia,FALSE
73593808,NCT05427955,Turkey,FALSE
73593809,NCT05426161,Denmark,FALSE
73593810,NCT05426005,China,FALSE
73593811,NCT05630833,Japan,FALSE