nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed
NCT02976740,,11/25/16,,,11/28/16,11/28/16,11/29/16,Estimate,,,,,,,11/28/16,11/29/16,Estimate,16-Nov,,11/30/16,16-Nov,11/30/16,19-Dec,Anticipated,12/31/19,19-Jun,Anticipated,6/30/19,,Interventional,,,SBRT Combination With rhGM-CSF and Tα1 for Stage IV NSCLC Patients Who Failed in Second-line Chemotherapy,A Prospective Multi-center Phase II Study: Assessment of the Safety and Abscopal Effects of SBRT Combination With rhGM-CSF and Thymosin Alpha 1 for Stage IV NSCLC Patients Who Failed in Second-line Chemotherapy,Unknown status,Recruiting,Phase 2,48,Anticipated,The First Affiliated Hospital of Xiamen University,,1,,,f,,,,f,,,,,,,,,,,No,,52:32.7,52:32.7,OTHER,,,,,
NCT03639857,,8/17/18,5/11/21,,6/29/21,8/17/18,8/21/18,Actual,6/29/21,7/21/21,Actual,,,,6/29/21,7/21/21,Actual,17-Aug-18,Actual,8/17/18,21-Jun,6/30/21,31-Dec-19,Actual,12/31/19,31-Dec-19,Actual,12/31/19,,Interventional,,,Study of the Efficacy of 532nm Laser and 1064 nm Laser in the Treatment of Cutaneous Lupus Erythematous Versus Topical Corticosteroids Alone,A Comparative Study of the Efficacy of 532nm Laser and 1064 nm Laser in the Treatment of Cutaneous Lupus Erythematous Versus Topical Corticosteroids Alone,Terminated,,Not Applicable,3,Actual,University of Central Florida,,3,,Time and resource constraints,f,,,,f,f,t,,,t,,,,,,,,52:34.1,52:34.1,OTHER,,,,,Lesions
NCT04342910,,4/9/20,,,2/20/21,4/10/20,4/13/20,Actual,,,,,,,2/20/21,2/23/21,Actual,21-Sep-20,Actual,9/21/20,20-Apr,4/30/20,1-Sep-22,Anticipated,9/1/22,1-Apr-22,Anticipated,4/1/22,,Interventional,,,Study to Evaluate the Efficacy and Safety of Camrelizumab and Apatinib in Patients With GC/GEJC,A Study of Camrelizumab (SHR-1210) Combined With Apatinib Versus Paclitaxel or Irinotecan in Participants With Advanced Gastric/Gastroesophageal Junction Adenocarcinoma Progressed After First-line Chemotherapy,Unknown status,Recruiting,Phase 3,550,Anticipated,"Jiangsu HengRui Medicine Co., Ltd.",,2,,,f,,,,,f,f,,,,,,,,,,,52:35.0,52:35.0,INDUSTRY,,,,,
NCT03504839,,4/4/18,2/1/21,,9/22/21,4/12/18,4/20/18,Actual,9/22/21,9/23/21,Actual,,,,9/22/21,9/23/21,Actual,15-Jan-18,Actual,1/15/18,21-Sep,9/30/21,12-Apr-19,Actual,4/12/19,12-Apr-19,Actual,4/12/19,,Interventional,DASH,,Same Day Subcutaneous ICD And Send Home (DASH),Same Day Subcutaneous ICD And Send Home,Completed,,Not Applicable,53,Actual,Ohio State University,,1,,,f,,,,t,f,t,,,f,,,,,,No,,52:36.1,52:36.1,OTHER,,,,,
NCT04714073,,1/15/21,,,5/5/21,1/15/21,1/19/21,Actual,,,,,,,5/5/21,5/6/21,Actual,11-Feb-21,Actual,2/11/21,21-May,5/31/21,30-Apr-21,Actual,4/30/21,30-Apr-21,Actual,4/30/21,,Interventional,,,A Study in Healthy Men to Test How Itraconazole Influences the Amount of BI 706321 in the Blood,"Effect of Itraconazole on the Pharmacokinetics of a Single Oral Dose of BI 706321 in Healthy Male Subjects (an Open-label, Two-period Fixed Sequence Design Study)",Completed,,Phase 1,14,Actual,Boehringer Ingelheim,,2,,,f,,,,f,f,f,,,,,,,,,No,"Clinical studies sponsored by Boehringer Ingelheim, phases I to IV, interventional and non-interventional, are in scope for sharing of the raw clinical study data and clinical study documents, except for the following exclusions:

studies in products where Boehringer Ingelheim is not the license holder;
studies regarding pharmaceutical formulations and associated analytical methods, and studies pertinent to pharmacokinetics using human biomaterials;
studies conducted in a single center or targeting rare diseases (because of limitations with anonymization).

For more details refer to: https://www.mystudywindow.com/msw/datasharing",52:36.9,52:36.9,INDUSTRY,,,,,
NCT04342676,,4/3/20,,,4/8/20,4/8/20,4/13/20,Actual,,,,,,,4/8/20,4/13/20,Actual,10-Mar-17,Actual,3/10/17,20-Apr,4/30/20,26-Aug-19,Actual,8/26/19,25-Aug-19,Actual,8/25/19,,Interventional,,,Lymph Node Ratio and Kras Mutation in R Colon Cancer,Lymph Node Ratio and Kras Mutation in Risk Stratification of Colon Cancer,Completed,,Phase 3,433,Actual,Mansoura University,,1,,,f,,,,,t,t,,,t,,,,,,No,after publication,52:37.6,52:37.6,OTHER,,,,,
NCT04269629,,2/5/20,7/15/20,,10/28/20,2/11/20,2/17/20,Actual,10/28/20,11/20/20,Actual,,,,10/28/20,11/20/20,Actual,14-Aug,Actual,8/31/14,20-Oct,10/31/20,19-Mar,Actual,3/31/19,18-Jan,Actual,1/31/18,,Observational,EADOAS,Patients included in the study at Visit 1.,The Effect of Antihypertensive Drugs on Severity of Anaphylaxis and Side-effects During Venom Immunotherapy,The Effect of Antihypertensive Drugs on Severity of Anaphylaxis and Side-effects During Venom Immunotherapy,Completed,,,1425,Actual,Medical University of Graz,,,1,,f,,,,,f,f,,,,,,,,,Undecided,,52:38.5,52:38.5,OTHER,,,,,
NCT01641822,,7/13/12,1/15/16,,4/6/16,7/16/12,7/17/12,Estimate,4/6/16,5/9/16,Estimate,,,,4/6/16,5/9/16,Estimate,12-Dec,,12/31/12,16-Apr,4/30/16,15-Jan,Actual,1/31/15,15-Jan,Actual,1/31/15,,Interventional,AZLI CAT,Intent-to-Treat (ITT) Analysis Set: all randomized participants,Phase 3 Study of Aztreonam for Inhalation Solution (AZLI) in a Continuous Alternating Therapy Regimen for the Treatment of Chronic Pseudomonas Aeruginosa Infection in Patients With CF,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study of Aztreonam for Inhalation Solution (AZLI) in a Continuous Alternating Therapy (CAT) Regimen of Inhaled Antibiotics for the Treatment of Chronic Pulmonary Pseudomonas Aeruginosa Infection in Subjects With Cystic Fibrosis",Completed,,Phase 3,107,Actual,Gilead Sciences,,2,,,f,,,,t,,,,,,,,,,,,,52:41.4,52:41.4,INDUSTRY,,,,,
NCT00199251,,9/13/05,,,12/22/05,9/13/05,9/20/05,Estimate,,,,,,,12/22/05,12/23/05,Estimate,4-Apr,,4/30/04,5-Sep,9/30/05,5-Jun,,6/30/05,,,,,Interventional,,,Efficacy and Safety of Rupatadine 10 and 20 Mg in Chronic Idiopathic Urticaria,"A 6-Week Multicentre, Double-Blind, Randomised, Placebo-Controlled, Parallel-Group Study to Assess the Efficacy and Safety of Rupatadine 10 and 20 Mg in the Treatment of Chronic Idiopathic Urticaria (CIU): a Phase III Clinical Trial",Terminated,,Phase 3,300,,J. Uriach and Company,,,,,f,,,,,,,,,,,,,,,,,27:10.3,27:10.3,INDUSTRY,,,,,
NCT04250987,,1/21/20,1/31/20,,9/18/20,1/29/20,1/31/20,Actual,9/18/20,9/21/20,Actual,,,,9/18/20,9/21/20,Actual,23-Mar-19,Actual,3/23/19,20-Sep,9/30/20,4-Apr-19,Actual,4/4/19,4-Apr-19,Actual,4/4/19,,Interventional,,One time use of intermittent catheterization with SpeediCath ® connected to a pressure sensor for 8 males and 4 females,Exploratory Investigation of Data Obtained From a Sensor Connected to an Intermittent Catheter,Exploratory Investigation of Data Obtained From a Sensor Connected to an Intermittent Catheter,Completed,,Not Applicable,12,Actual,Coloplast A/S,,1,,,f,,,,f,f,f,,,,,,,,,No,,52:43.1,52:43.1,INDUSTRY,,,,,
NCT05651100,,11/26/22,,,12/6/22,12/6/22,12/14/22,Actual,,,,,,,12/6/22,12/14/22,Actual,10-Dec-22,Anticipated,12/10/22,22-Dec,12/31/22,10-Dec-25,Anticipated,12/10/25,10-Dec-24,Anticipated,12/10/24,,Interventional,,,Safety and Efficacy of Sequential CD19 and CD22 Targeted CAR-T Therapy for Relapsed/Refractory B Cell Lymphoma,Phase 1/Phase 2 Study of Sequential Chimeric Antigen Receptor T Cell Targeting at CD19 and CD22 B-cell Antigens Treating Refractory or Relapsed B-cell Lymphoma Patients,Not yet recruiting,,Phase 1/Phase 2,50,Anticipated,Kecellitics Biotech Company Ltd,,1,,,f,,,,f,f,f,,,,,,,,,,,52:43.8,52:43.8,INDUSTRY,,,,,
NCT00555490,,11/7/07,,,11/7/07,11/7/07,11/8/07,Estimate,,,,,,,11/7/07,11/8/07,Estimate,1-Apr,,4/30/01,7-Nov,11/30/07,5-Sep,Actual,9/30/05,,,,,Interventional,,,Long-Term Effect of Soy Consumption on Cardio-Renal Indices and CRP in Type 2diabetes With Nephropathy,"Soy-Protein Intake, Cardio-Renal Indices and C-Reactive Protein in Type 2 Diabetes With Nephropathy: a 4-y Randomized Clincal Trial",Completed,,Phase 1,41,Actual,Isfahan University of Medical Sciences,,1,,,f,,,,,,,,,,,,,,,,,27:11.0,27:11.0,OTHER,,,,,
NCT06167070,,12/4/23,,,2/28/24,12/11/23,12/12/23,Actual,,,,,,,2/28/24,3/1/24,Actual,,,,,,,,,,,,,,,,[Trial of device that is not approved or cleared by the U.S. FDA],[Trial of device that is not approved or cleared by the U.S. FDA],Withheld,,,,,[Redacted],,,,,f,,,,,,,,,,,,,,,,,10:44.0,10:44.0,,Yes,,,,
NCT04393844,,5/14/20,,,2/3/23,5/18/20,5/19/20,Actual,,,,,,,2/3/23,2/8/23,Actual,2-Jun-20,Actual,6/2/20,23-Feb,2/28/23,15-Jul-23,Anticipated,7/15/23,17-Apr-22,Actual,4/17/22,,Interventional,,,The Success Rate of Catheter Insertion by the Presence of Obturator During Peripherally Inserted Central Venous Catheter,Comparison of Success Rate of Catheter Insertion by the Presence of Obturator During Peripherally Inserted Central Venous Catheter in Pediatric Patient Undergoing General Anesthesia; Prospective Randomized Controlled Study,"Active, not recruiting",,Not Applicable,65,Actual,Seoul National University Hospital,,2,,,f,,,,,f,f,,,f,,,,,,No,,52:44.6,52:44.6,OTHER,,,,,
NCT05645094,,12/1/22,,,12/9/22,12/1/22,12/9/22,Actual,,,,,,,12/9/22,12/13/22,Actual,1-Jan-23,Anticipated,1/1/23,22-Dec,12/31/22,1-Jun-26,Anticipated,6/1/26,1-Jun-23,Anticipated,6/1/23,,Observational,,,Neoadjuvant Envafolimab in Resectable and Locally Advanced MSI-H/dMMR Rectal Cancer,"Neoadjuvant Envafolimab in Resectable and Locally Advanced MSI-H/dMMR Rectal Cancer: a Single-arm, Prospective Trial",Not yet recruiting,,,38,Anticipated,Fudan University,,,,,f,,,,f,f,f,,,,,,,,,No,,52:45.3,52:45.3,OTHER,,,,,
NCT04393532,,5/14/20,,,2/5/23,5/18/20,5/19/20,Actual,,,,,,,2/5/23,2/8/23,Actual,23-Feb-20,Actual,2/23/20,23-Feb,2/28/23,23-Dec,Anticipated,12/31/23,23-Dec,Anticipated,12/31/23,,Interventional,,,Laparoscopic Primary Umbilical Hernia Repair With Routine Defect Closure Using Su2ura Approximation Device,Laparoscopic Primary Umbilical Hernia Repair With Routine Defect Closure Using Su2ura Approximation Device,Recruiting,,Not Applicable,45,Anticipated,Anchora Medical,,1,,,f,,,,f,f,f,,,,,,,,,No,,52:46.0,52:46.0,OTHER,,,,,
NCT03507569,,4/16/18,6/21/19,,8/30/19,4/16/18,4/25/18,Actual,8/30/19,9/30/19,Actual,,,,8/30/19,9/30/19,Actual,24-Apr-18,Actual,4/24/18,19-Aug,8/31/19,22-Jun-18,Actual,6/22/18,22-Jun-18,Actual,6/22/18,,Interventional,,,"Open Label, Adaptive, Parallel Group PET Study Using RO7017773 And [11C] RO15-4513","A Non-Randomized Open Label, Adaptive, Parallel Group, Human Positron Emission Tomography (PET) Study to Assess Occupancy of Brain alpha5-Containing GABAA Receptors of Ro7017773 Using [11C] Ro15-4513 Following Single Oral Doses in Healthy Participants",Completed,,Phase 1,6,Actual,Hoffmann-La Roche,,1,,,f,,,,,f,f,,,,,,,,,,,52:46.9,52:46.9,INDUSTRY,,,,,
NCT03508661,,4/15/18,1/6/20,,2/4/20,4/24/18,4/26/18,Actual,2/4/20,2/12/20,Actual,,,,2/4/20,2/12/20,Actual,18-Apr-18,Actual,4/18/18,20-Feb,2/29/20,10-Aug-18,Actual,8/10/18,10-Aug-18,Actual,8/10/18,,Interventional,SPIN-SSLED-F,,The Scleroderma Patient-centered Intervention Network (SPIN) Support Group Leader Education Program Feasibility Trial,The Scleroderma Patient-centered Intervention Network (SPIN) - Scleroderma Support Group Leader EDucation (SSLED) Program Feasibility Trial,Completed,,Not Applicable,10,Actual,Lady Davis Institute,,1,,,f,,,,f,f,f,,,,,,,,,,,52:48.2,52:48.2,OTHER,,,,,
NCT05358990,,4/28/22,,,12/12/22,4/28/22,5/3/22,Actual,,,,,,,12/12/22,12/14/22,Actual,25-May-22,Actual,5/25/22,22-Dec,12/31/22,25-Oct-22,Actual,10/25/22,25-Oct-22,Actual,10/25/22,,Interventional,eCOVID-PLR,,"Knowledge Mobilization Activities to Support Decision-Making by Youth, Parents and Adults: Study Protocol","Knowledge Mobilization Activities to Support Decision-making by Youth, Parents and Adults Using a Systematic and Living Map of Evidence and Recommendations on Coronavirus Disease (COVID-19)",Completed,,Not Applicable,997,Actual,McMaster University,,2,,,f,,,,,f,f,,,,,,,,,No,,52:49.3,52:49.3,OTHER,,,,,
NCT00764374,,9/30/08,,,10/28/14,10/1/08,10/2/08,Estimate,,,,,,,10/28/14,10/29/14,Estimate,8-Aug,,8/31/08,14-Oct,10/31/14,9-Dec,Actual,12/31/09,9-Dec,Actual,12/31/09,,Interventional,,,"A Long-term, Open-label, Uncontrolled Trial of YM443 (Z-338) in Patients With Functional Dyspepsia","A Long-term, Open-label, Uncontrolled Trial of YM443 (Z-338) in Patients With Functional Dyspepsia",Completed,,Phase 3,412,Actual,Astellas Pharma Inc,,1,,,f,,,,f,,,,,,,,,,,,,02:06.4,02:06.4,INDUSTRY,,,,,
NCT00175097,,9/13/05,,,11/26/14,9/13/05,9/15/05,Estimate,,,,,,,11/26/14,12/2/14,Estimate,1-Jun,,6/30/01,14-Nov,11/30/14,5-May,Actual,5/31/05,5-May,Actual,5/31/05,,Interventional,,,Soybean Based Diets and CVD Risk Factors,Impact of Different Forms of Soybean Based Foods on Cardiovascular Disease Risk Factors in Hypercholesterolemic Subjects.,Completed,,Not Applicable,30,Actual,Tufts University,,4,,,f,,,,f,,,,,,,,,,,,,27:11.6,27:11.6,OTHER,,,,,
NCT02894242,,9/5/16,,,4/2/17,9/5/16,9/9/16,Estimate,,,,,,,4/2/17,4/4/17,Actual,16-Sep,,9/30/16,17-Apr,4/30/17,17-Mar,Actual,3/31/17,17-Jan,Actual,1/31/17,,Interventional,,,The Evaluation of a Nasal Pillows Mask for the Treatment of Obstructive Sleep Apnea (OSA),The Evaluation of a Nasal Pillows Mask for the Treatment of Obstructive Sleep Apnea (OSA),Completed,,Not Applicable,22,Actual,Fisher and Paykel Healthcare,,1,,,f,,,,t,,,,,,,,,,,No,For product development purposes only. Data will be deidentified.,27:12.3,27:12.3,INDUSTRY,,,,,
NCT05302362,,3/21/22,,,4/16/24,3/21/22,3/31/22,Actual,,,,,,,4/16/24,4/17/24,Actual,14-Mar-22,Actual,3/14/22,22-Mar,3/31/22,18-Aug-23,Actual,8/18/23,20-Jul-23,Actual,7/20/23,,Interventional,,,Effect of Fixed vs. Tailored Intensity tDCS for Attention Deficit After TBI,"Effect of Fixed vs. Tailored Intensity Transcranial Direct Current Stimulation for Attention Deficit After Traumatic Brain Injury: a Single Center, Prospective, Double Blind, Randomized-Controlled Clinical Trial, Pilot Study",Completed,,Not Applicable,12,Actual,Seoul National University Hospital,,3,,,f,,,,t,f,f,,,f,,,,,,No,Individual participant data can be shared on reasonable request,00:58.2,00:58.2,OTHER,,,,,
NCT04871958,,4/29/21,,,7/26/22,4/30/21,5/4/21,Actual,,,,,,,7/26/22,7/28/22,Actual,19-Mar-21,Actual,3/19/21,22-Jul,7/31/22,30-Sep-21,Actual,9/30/21,31-Aug-21,Actual,8/31/21,,Interventional,Initiator,,"Individualized, Technological Interventions for Diabetes Care in the COVID-19 Ward","Individualized, Technological Interventions for Diabetes Care in the COVID-19 Ward",Terminated,,Not Applicable,66,Actual,Federico II University,,3,,Shift of the participating wards to non-Covid patients,f,,,,f,f,f,,,,,,,,,,,52:50.2,52:50.2,OTHER,,,,,
NCT02894281,,9/5/16,,,7/6/17,9/5/16,9/9/16,Estimate,,,,,,,7/6/17,7/7/17,Actual,16-Jun,Actual,6/30/16,17-Jul,7/31/17,30-Jun-17,Actual,6/30/17,30-Jun-17,Actual,6/30/17,,Observational,PCT,,Pupillometry Dynamic Measures in Patients Without Ocular or Neurological Disease,,Completed,,,22,Actual,Fondation Ophtalmologique Adolphe de Rothschild,,,2,,f,,,,,,,,,,,,,,,,,27:13.0,27:13.0,NETWORK,,,,,
NCT02524275,,8/12/15,8/10/22,,8/25/23,8/12/15,8/14/15,Estimate,8/10/22,9/1/22,Actual,,,,8/25/23,9/8/23,Actual,30-Mar-15,Actual,3/30/15,23-Aug,8/31/23,28-Oct-21,Actual,10/28/21,28-Oct-21,Actual,10/28/21,,Interventional,,,Docetaxel and Capecitabine With Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck,Phase II Study of Docetaxel and Capecitabine in Advanced Squamous Cell Carcinoma of the Head and Neck,Terminated,,Phase 2,14,Actual,University of Nebraska,,1,,low enrollment,f,,,,t,t,f,,,f,,,,,,,,03:05.9,03:05.9,OTHER,,,,,
NCT04342598,,4/7/20,,,2/24/21,4/9/20,4/13/20,Actual,,,,,,,2/24/21,2/25/21,Actual,27-Jan-20,Actual,1/27/20,21-Feb,2/28/21,17-Dec-20,Actual,12/17/20,17-Dec-20,Actual,12/17/20,,Observational,,,"Case Control Study of Vitamin D Status and Adult Multidrug-resistant Pulmonary Tuberculosis in Maharashtra, India","Case Control Study of Vitamin D Status and Adult Multidrug-resistant Pulmonary Tuberculosis in Maharashtra, India",Completed,,,352,Actual,Harvard School of Public Health (HSPH),,,3,,f,,,,f,f,f,,,,,,,,,Undecided,,52:51.0,52:51.0,OTHER,,,,,
NCT00199329,,9/14/05,,,3/19/18,9/14/05,9/20/05,Estimate,,,,,,,3/19/18,3/21/18,Actual,5-Jan,,1/31/05,7-Oct,10/31/07,,,,,,,,Interventional,,,Antiemetic Effect of the Addition of Ondansetron to the Morphine Solution in Patient-Controlled Analgesia (PCA),,Completed,,Not Applicable,160,Actual,Khon Kaen University,,,,,f,,,,,,,,,,,,,,,,,27:26.4,27:26.4,OTHER,,,,,
NCT03645785,,5/30/18,11/20/20,,2/2/21,8/22/18,8/24/18,Actual,2/2/21,2/21/21,Actual,,,,2/2/21,2/21/21,Actual,28-Aug-18,Actual,8/28/18,21-Feb,2/28/21,20-May-19,Actual,5/20/19,20-May-19,Actual,5/20/19,,Interventional,,3 patients were excluded due to history of stones in the analysis,"Variation in Urine Electrolytes, pH and Specific Gravity Throughout the Day","Variation in Urine Electrolytes, pH and Specific Gravity Throughout the Day and the Effect of Increased Fluid Intake on Intra-Day Urine Composition",Completed,,Not Applicable,23,Actual,Albany Medical College,,2,,,f,,,,f,f,f,,,,,,,,,No,,52:52.3,52:52.3,OTHER,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,